experience,initial_rating,n_words,paper_id,rating,review_id,thoroughness
1.0,6,342.0,HJe88xBKPr,6,SkxP4oloYB,2.0
1.0,1,337.0,HJe88xBKPr,1,Skxg0CjUtH,2.0
0.0,6,137.0,HJe88xBKPr,6,SyxwlXOjcH,3.0
2.0,3,287.0,HkljrTEKvr,3,r1xlM3GRYH,2.0
2.0,3,402.0,HkljrTEKvr,3,r1e7p0CaKS,2.0
2.0,3,399.0,HkljrTEKvr,3,Skgf26tRFH,2.0
3.0,3,400.0,BJeGA6VtPS,3,SJey8T3AFr,3.0
3.0,3,326.0,BJeGA6VtPS,3,HylSZxH2FS,3.0
3.0,3,359.0,BJeGA6VtPS,3,rkxjIK2oFH,3.0
0.0,3,150.0,SyxM51BYPB,3,H1gj6JT7qr,2.0
2.0,1,350.0,SyxM51BYPB,3,SJg7hHphtH,2.0
2.0,1,316.0,SyxM51BYPB,1,rJlnmSE-qH,2.0
2.0,3,443.0,SJgn3lBtwH,3,SJg7FudRYr,3.0
2.0,3,420.0,SJgn3lBtwH,3,Syli-Rq2Fr,2.0
2.0,1,639.0,SJgn3lBtwH,1,BJlTr1daYB,3.0
0.0,3,252.0,BJlo91BYPr,3,HJxPx2WAtB,1.0
1.0,3,123.0,BJlo91BYPr,3,SJgnTDD0KH,2.0
2.0,3,552.0,BJlo91BYPr,3,S1e54b8AFH,2.0
1.0,3,577.0,SJgIPJBFvH,3,ByxTlM6e5H,2.0
1.0,8,424.0,SJgIPJBFvH,8,HJxvboKicr,3.0
2.0,8,523.0,SJgIPJBFvH,8,SJewlC1jFr,2.0
1.0,1,527.0,B1gzLaNYvr,1,H1lLPJJ0KS,2.0
1.0,3,335.0,B1gzLaNYvr,3,HkgYPG-3YH,1.0
1.0,1,402.0,B1gzLaNYvr,1,SJl2U01TFH,2.0
2.0,3,227.0,SyxGoJrtPr,3,ryxPtG13KB,3.0
3.0,3,790.0,SyxGoJrtPr,3,rkgYpift9B,3.0
2.0,6,201.0,SyxGoJrtPr,6,HkeBBIr3KS,3.0
0.0,8,260.0,BygzbyHFvB,8,rkeZXiHs9r,2.0
1.0,8,187.0,BygzbyHFvB,8,SyeaSzBZcS,2.0
2.0,3,260.0,BkeOp6EKDH,3,Skg9yjLTtB,3.0
0.0,3,540.0,BkeOp6EKDH,3,H1lZAv27YH,2.0
2.0,1,94.0,BkeOp6EKDH,1,Hyxc7IaSKS,1.0
2.0,1,238.0,Bklu2grKwB,1,rye8e_rTFr,2.0
2.0,3,355.0,Bklu2grKwB,3,SkeVXO9RKH,3.0
3.0,1,438.0,Bklu2grKwB,1,ByxIDYM0KS,3.0
3.0,3,150.0,rJlUhhVYvS,3,SJlFHnO6cr,3.0
1.0,1,125.0,rJlUhhVYvS,1,SJeT-mmc5S,1.0
2.0,6,123.0,rJlUhhVYvS,6,SklrAvRctS,3.0
3.0,1,494.0,rJlUhhVYvS,1,BJxu9Rwn9S,2.0
2.0,3,1167.0,HkxwmRVtwH,6,S1ly24CaKr,3.0
3.0,6,302.0,HkxwmRVtwH,6,B1xym1CyqS,2.0
1.0,3,367.0,HkxwmRVtwH,6,rkxRezOpFH,2.0
3.0,1,431.0,ryeRwlSYPH,3,B1ghdRtJcr,3.0
2.0,3,314.0,ryeRwlSYPH,3,SJeB8gyy5r,2.0
0.0,6,300.0,ryeRwlSYPH,6,Hyx7VMW19B,2.0
1.0,3,336.0,H1gNOeHKPS,6,HkxOeWlCYS,3.0
1.0,6,923.0,H1gNOeHKPS,8,S1gJpwkpqB,3.0
1.0,6,482.0,H1gNOeHKPS,6,BkgVknOCtB,3.0
0.0,3,248.0,H1gNOeHKPS,3,B1l3vxgLcS,2.0
2.0,6,169.0,Bygadh4tDB,6,H1eAZuvkqr,3.0
1.0,1,854.0,Bygadh4tDB,6,BkgiaQoTFH,2.0
2.0,3,451.0,Bygadh4tDB,3,rJglOLeCFB,3.0
2.0,3,389.0,ryxK0JBtPr,6,r1gvs0imcr,3.0
2.0,6,290.0,ryxK0JBtPr,6,r1eFtky0tr,3.0
2.0,6,250.0,ryxK0JBtPr,6,HyxmIYPEYH,2.0
1.0,1,659.0,Sygt9yBtPS,1,S1lootKTKS,2.0
3.0,1,234.0,Sygt9yBtPS,1,ByltwfbCtH,3.0
3.0,1,179.0,Sygt9yBtPS,1,BkgBlaBEYS,2.0
2.0,3,172.0,SygT21SFvB,3,rkeynNmgqB,2.0
1.0,3,536.0,SygT21SFvB,3,SJgY7__pYS,2.0
2.0,3,514.0,SygT21SFvB,3,BJgqUqanYr,2.0
2.0,6,381.0,BkgHWkrtPB,6,Sye3oGRmcH,2.0
0.0,6,171.0,BkgHWkrtPB,6,rJl_CN_DKr,2.0
0.0,8,113.0,BkgHWkrtPB,8,Hygat6E1qH,2.0
1.0,8,283.0,SkxcZCNKDS,8,r1lPYRyHFS,3.0
2.0,3,316.0,SkxcZCNKDS,3,rylwfsfRFH,3.0
2.0,3,1559.0,SkxcZCNKDS,3,B1eC9jq0FH,3.0
2.0,6,543.0,rygBVTVFPB,6,rJekPAOaFr,3.0
2.0,3,200.0,rygBVTVFPB,3,SygDufkFKB,2.0
1.0,3,414.0,rygBVTVFPB,3,r1lYBi9cKH,2.0
1.0,1,219.0,SkxnuTNtDS,1,SkxKE0oOqr,2.0
3.0,1,145.0,SkxnuTNtDS,1,HJllgECjtH,3.0
2.0,1,248.0,SkxnuTNtDS,1,rJxWvaFGsr,2.0
1.0,6,202.0,HJxMYANtPH,6,ryxdtTj1qS,3.0
2.0,6,316.0,HJxMYANtPH,6,BklTr756KH,3.0
1.0,3,223.0,HJxMYANtPH,6,SylBdSQ6tH,2.0
2.0,3,342.0,BkgM7xHYwH,3,H1llbY2sdH,2.0
2.0,3,208.0,BkgM7xHYwH,3,BJxS8t0k9r,3.0
1.0,1,124.0,BkgM7xHYwH,1,B1gi6tditH,3.0
